image,prediction,score_a_noamd,score_b_amd
1018113_21015_1_0.png,a_noamd,0.8609683,0.1390317
1020777_21015_1_0.png,a_noamd,0.875111,0.12488907
1026486_21016_0_0.png,a_noamd,0.8627062,0.13729385
1036537_21016_0_0.png,a_noamd,0.88008475,0.11991528
1039702_21015_1_0.png,a_noamd,0.8683893,0.13161062
1046092_21015_0_0.png,a_noamd,0.8708347,0.1291653
1064334_21016_0_0.png,b_amd,0.4276159,0.57238406
1103313_21016_0_0.png,b_amd,0.19028796,0.80971205
1107730_21015_0_0.png,a_noamd,0.85909295,0.14090708
1134266_21015_0_0.png,a_noamd,0.83970153,0.16029851
1167873_21016_0_0.png,a_noamd,0.83084965,0.16915037
1169358_21015_1_0.png,a_noamd,0.88059443,0.11940559
1170584_21016_0_0.png,a_noamd,0.87340444,0.12659551
1175155_21016_0_0.png,a_noamd,0.8843758,0.11562419
1178859_21016_0_0.png,a_noamd,0.88332874,0.11667124
1184375_21016_1_0.png,a_noamd,0.67654943,0.32345057
1186967_21016_0_0.png,b_amd,0.47535586,0.52464414
1197089_21016_0_0.png,a_noamd,0.93096673,0.0690333
1197343_21015_0_0.png,a_noamd,0.8142293,0.18577068
1220742_21016_0_0.png,a_noamd,0.88514245,0.11485764
1223318_21016_0_0.png,a_noamd,0.92838764,0.07161241
1230171_21016_0_0.png,a_noamd,0.7916041,0.20839585
1250082_21016_0_0.png,a_noamd,0.86252594,0.13747406
1260458_21016_0_0.png,a_noamd,0.74214214,0.2578578
1261685_21016_0_0.png,a_noamd,0.8783461,0.12165393
1267094_21016_0_0.png,a_noamd,0.7593421,0.240658
1275770_21015_0_0.png,a_noamd,0.8638878,0.13611224
1322575_21016_0_0.png,a_noamd,0.87029713,0.1297028
1330933_21015_0_0.png,b_amd,0.25562686,0.74437314
1334474_21015_0_0.png,a_noamd,0.87434393,0.12565602
1346072_21016_0_0.png,b_amd,0.22551154,0.77448845
1350271_21016_0_0.png,a_noamd,0.8374059,0.16259411
1359631_21015_1_0.png,a_noamd,0.949527,0.050472938
1372500_21016_0_0.png,b_amd,0.24215019,0.7578498
1407787_21015_1_0.png,a_noamd,0.85573035,0.14426965
1412963_21015_0_0.png,a_noamd,0.8400416,0.1599584
1429525_21016_0_0.png,a_noamd,0.8571409,0.1428591
1434744_21016_0_0.png,a_noamd,0.8343403,0.16565977
1438121_21015_0_0.png,a_noamd,0.8856852,0.11431483
1438217_21016_0_0.png,a_noamd,0.82365763,0.1763424
1465849_21015_0_0.png,a_noamd,0.8218096,0.17819045
1486263_21015_0_0.png,a_noamd,0.8563661,0.14363386
1494464_21015_0_0.png,a_noamd,0.92511034,0.07488969
1495365_21015_1_0.png,a_noamd,0.9137139,0.08628606
1495979_21015_1_0.png,a_noamd,0.87680554,0.123194516
1499051_21015_0_0.png,a_noamd,0.8810532,0.118946806
1499671_21016_0_1.png,a_noamd,0.94536847,0.054631583
1506781_21016_0_0.png,a_noamd,0.84498906,0.15501092
1514959_21015_0_0.png,a_noamd,0.8594733,0.14052674
1515498_21016_0_0.png,a_noamd,0.9401031,0.059896916
1535030_21016_0_0.png,a_noamd,0.85275656,0.14724344
1537998_21015_1_1.png,a_noamd,0.8915516,0.108448386
1552660_21016_0_0.png,a_noamd,0.8767376,0.123262405
1553749_21016_0_0.png,a_noamd,0.87600946,0.12399054
1553751_21015_0_0.png,a_noamd,0.6991501,0.30084988
1557480_21016_1_0.png,a_noamd,0.8005938,0.19940619
1560389_21015_0_0.png,a_noamd,0.9335922,0.06640784
1574898_21016_0_0.png,a_noamd,0.87078375,0.12921627
1601635_21016_0_0.png,a_noamd,0.8591813,0.1408187
1632106_21016_1_0.png,a_noamd,0.8584957,0.14150426
1652487_21016_1_0.png,a_noamd,0.87168187,0.12831816
1663149_21016_0_0.png,a_noamd,0.9031037,0.0968963
1681117_21016_0_0.png,a_noamd,0.8978683,0.10213178
1697220_21015_0_0.png,a_noamd,0.6301402,0.3698598
1704670_21015_0_0.png,a_noamd,0.8757841,0.124215856
1708747_21016_0_0.png,a_noamd,0.8570592,0.14294088
1730885_21016_0_0.png,a_noamd,0.8621142,0.1378858
1736297_21016_0_0.png,a_noamd,0.81387454,0.18612544
1737240_21015_1_0.png,a_noamd,0.9109948,0.08900518
1782210_21016_0_0.png,a_noamd,0.8784848,0.12151526
1826552_21016_0_0.png,a_noamd,0.91282064,0.08717934
1840708_21015_1_0.png,a_noamd,0.7736234,0.22637664
1844778_21016_1_0.png,a_noamd,0.8814124,0.118587635
1855075_21015_0_0.png,a_noamd,0.8224007,0.17759933
1862962_21015_0_0.png,a_noamd,0.8699276,0.13007244
1897613_21016_0_0.png,a_noamd,0.8716975,0.12830248
1897754_21016_0_0.png,b_amd,0.25229117,0.7477088
1902295_21016_0_0.png,a_noamd,0.8692578,0.13074219
1912841_21016_0_0.png,a_noamd,0.87237924,0.12762077
1926601_21015_1_0.png,a_noamd,0.61098236,0.38901764
1937126_21015_0_0.png,a_noamd,0.8671631,0.1328369
1951687_21015_0_0.png,a_noamd,0.610204,0.389796
1959318_21015_0_0.png,a_noamd,0.8425365,0.1574635
1965435_21015_1_0.png,a_noamd,0.51079935,0.48920068
1970295_21016_0_0.png,a_noamd,0.8916773,0.10832268
1973049_21015_1_0.png,a_noamd,0.86903965,0.1309603
1984835_21016_0_0.png,a_noamd,0.8778013,0.122198656
1986875_21016_0_0.png,a_noamd,0.85359263,0.14640744
2003584_21016_0_0.png,a_noamd,0.88470644,0.11529357
2016718_21015_0_0.png,b_amd,0.24174479,0.75825524
2020618_21016_1_0.png,a_noamd,0.91024405,0.08975597
2021853_21015_1_0.png,a_noamd,0.7167492,0.2832508
2039753_21016_1_0.png,a_noamd,0.96102184,0.038978145
2071319_21016_0_0.png,a_noamd,0.8390642,0.16093585
2088201_21015_0_0.png,a_noamd,0.80290705,0.19709301
2102048_21015_0_0.png,a_noamd,0.89670575,0.103294246
2102787_21015_0_0.png,a_noamd,0.8593752,0.14062479
2109806_21016_0_0.png,a_noamd,0.8627042,0.13729581
2120628_21016_0_0.png,a_noamd,0.83271754,0.16728249
2128348_21015_0_0.png,a_noamd,0.89265144,0.107348576
2133699_21016_1_0.png,a_noamd,0.95174205,0.048257917
2140974_21015_1_0.png,a_noamd,0.65232223,0.3476778
2154562_21016_0_0.png,a_noamd,0.8681144,0.13188556
2156701_21015_0_0.png,a_noamd,0.82420284,0.17579713
2163214_21015_0_0.png,a_noamd,0.8573362,0.14266379
2165184_21015_0_0.png,a_noamd,0.87447226,0.12552768
2173281_21015_0_0.png,a_noamd,0.85117924,0.14882079
2183408_21016_0_0.png,a_noamd,0.8277574,0.17224252
2192806_21015_0_0.png,a_noamd,0.9428455,0.057154413
2202486_21016_0_0.png,a_noamd,0.88130563,0.11869442
2215678_21015_1_0.png,a_noamd,0.8643057,0.13569428
2232012_21015_1_0.png,a_noamd,0.8778298,0.12217022
2247731_21015_0_0.png,a_noamd,0.76315045,0.23684949
2270075_21016_0_0.png,a_noamd,0.9282737,0.07172634
2275268_21015_0_0.png,a_noamd,0.8591419,0.14085814
2284218_21016_0_0.png,a_noamd,0.93627214,0.063727885
2285374_21016_0_0.png,a_noamd,0.8572834,0.1427166
2291289_21016_0_0.png,a_noamd,0.813196,0.186804
2312624_21015_0_0.png,a_noamd,0.84613556,0.15386449
2320996_21015_0_0.png,a_noamd,0.86617,0.13383
2341253_21015_0_0.png,b_amd,0.22757994,0.7724201
